Algorithm,Load,Average,Min,Max
Random,50,3206.5549019607843,2601.176470588235,3708.9411764705883
Random,100,5291.736423841059,4409.2913907284765,6039.086092715232
Random,150,5623.135099337748,4416.0,6206.94701986755
Fuzzy,50,3493.3686274509805,2851.470588235294,4162.294117647059
Fuzzy,100,5449.88476821192,4964.6556291390725,6331.854304635762
Fuzzy,150,5458.0463576158945,4938.278145695364,5855.6556291390725
NSGA3,50,3328.0176470588235,2673.1960784313724,4857.745098039216
NSGA3,100,5398.697350993378,4515.940397350993,6284.0
NSGA3,150,5262.576821192053,4768.324503311258,5813.695364238411
QUEST,50,2544.774509803922,2234.607843137255,2766.823529411765
QUEST,100,3903.9417218543044,3646.662251655629,4145.82119205298
QUEST,150,3871.4503311258277,3646.860927152318,4029.41059602649
