Algorithm,Load,QuestAvg,OtherAvg,AvgDiff,Improvement(%)
Random,20,3626.6445648049125,2484.4285714285716,-1142.215993376341,-31.49511822749534
Random,40,3626.6445648049125,6536.926829268293,2910.28226446338,80.2472426635482
Random,100,3626.6445648049125,10826.287128712871,7199.642563907959,198.52076582793683
Fuzzy,20,3626.6445648049125,2819.3333333333335,-807.311231471579,-22.26055564711803
Fuzzy,40,3626.6445648049125,6483.487804878048,2856.843240073136,78.77373117282073
Fuzzy,100,3626.6445648049125,12877.158415841584,9250.513851036672,255.07087021455283
NSGA3,20,3626.6445648049125,3902.8571428571427,276.2125780522301,7.616202059963611
NSGA3,40,3626.6445648049125,6932.414634146341,3305.7700693414286,91.15230374166141
NSGA3,100,3626.6445648049125,9768.524752475247,6141.880187670335,169.35434608824767
MQGA,20,3626.6445648049125,3284.3333333333335,-342.31123147157905,-9.4387863314086
MQGA,40,3626.6445648049125,7428.609756097561,3801.965191292649,104.83423791206754
MQGA,100,3626.6445648049125,9332.39603960396,5705.751474799048,157.32866490890808
greedy,20,3626.6445648049125,2205.809523809524,-1420.8350409953887,-39.17767555122456
greedy,40,3626.6445648049125,2271.7073170731705,-1354.937247731742,-37.360629736943295
greedy,100,3626.6445648049125,11069.49504950495,7442.850484700039,205.2269074540645
