Algorithm,Load,Average,Min,Max
QUEST,1,45841671.67208565,20125272.440381944,64731688.333333336
QUEST,2,61034464.524843745,19964173.12501158,198288774.16666666
QUEST,3,50759001.96498033,20002811.59017361,185723445.83333334
QUEST_NDVFS,1,45623722.333333336,19621947.5,62728814.166666664
QUEST_NDVFS,2,60084833.916666664,17833197.5,167273700.83333334
QUEST_NDVFS,3,50309260.916666664,21850553.333333332,154847100.83333334
Fuzzy,1,64965072.666666664,23131014.166666668,172987092.5
Fuzzy,2,76178452.08333333,25283150.833333336,262436538.33333334
Fuzzy,3,64062477.833333336,25692279.166666668,280209999.1666667
NSGA3,1,61140491.75,24881972.5,145040173.33333334
NSGA3,2,89600820.08333333,24109132.5,307594970.0
NSGA3,3,54945584.083333336,26059853.333333332,191477526.66666666
MQGA,1,52241659.333333336,20072736.666666668,96076709.16666667
MQGA,2,81277253.66666667,25172115.833333336,260116225.83333334
MQGA,3,60256390.833333336,25715866.666666668,248410699.16666666
Greedy,1,51249182.91666667,19223884.166666668,89574495.0
Greedy,2,79296043.25,24909892.5,261931847.5
Greedy,3,63559455.333333336,26813953.333333336,257438278.33333334
MOPSO,1,57677619.833333336,22099873.333333332,114492802.5
MOPSO,2,84456521.75,25975485.833333336,271948840.0
MOPSO,3,64324227.333333336,27599536.666666668,272195047.5
RL,1,60346787.833333336,20701604.166666668,145043042.5
RL,2,88611943.33333333,25193187.5,287051290.0
RL,3,71800276.75,26435659.166666668,334681904.1666667
