Algorithm,Load,QuestAvg,OtherAvg,AvgDiff,Improvement(%)
Random,50,21365586.694444444,18827491.333333332,-2538095.361111112,-11.879361879498852
Random,100,21365586.694444444,24356747.083333332,2991160.388888888,13.999898208583527
Random,150,21365586.694444444,29856924.083333332,8491337.388888888,39.743057423725396
Fuzzy,50,21365586.694444444,21198161.5,-167425.19444444403,-0.7836208611485427
Fuzzy,100,21365586.694444444,24276878.75,2911292.055555556,13.626080562124516
Fuzzy,150,21365586.694444444,27351799.25,5986212.555555556,28.018011586417668
NSGA3,50,21365586.694444444,10566920.916666666,-10798665.777777778,-50.54233207921075
NSGA3,100,21365586.694444444,14299924.25,-7065662.444444444,-33.07029451375507
NSGA3,150,21365586.694444444,17702347.916666664,-3663238.77777778,-17.14550988075749
MQGA,50,21365586.694444444,13878079.0,-7487507.694444444,-35.044709052578334
MQGA,100,21365586.694444444,17960182.0,-3405404.694444444,-15.938737106292193
MQGA,150,21365586.694444444,21822422.166666664,456835.47222222015,2.1381836069168565
