Algorithm,Load,Average,Min,Max
Random,50,10544.8,5369.0,16899.0
Random,100,19108.3,7943.0,30102.0
Random,150,30425.5,15503.0,50827.0
Fuzzy,50,8632.6,7361.0,9258.0
Fuzzy,100,18833.5,17773.0,20890.0
Fuzzy,150,28612.5,26367.0,30119.0
NSGA3,50,26715.7,12562.0,40251.0
NSGA3,100,42375.3,25270.0,53383.0
NSGA3,150,52143.7,37323.0,71529.0
QUEST,50,13226.1,5706.0,23594.0
QUEST,100,27535.5,14662.0,35361.0
QUEST,150,35727.1,13529.0,49651.0
MQGA,50,15049.2,5426.0,31089.0
MQGA,100,21602.8,11182.0,34823.0
MQGA,150,39076.2,20598.0,55953.0
