Algorithm,Load,QuestAvg,OtherAvg,AvgDiff,Improvement(%)
QUEST_NDVFS,1,10302.233333333334,4720.8,-5581.433333333333,-54.176926038690645
QUEST_NDVFS,2,10302.233333333334,8500.1,-1802.1333333333332,-17.4926472253589
QUEST_NDVFS,3,10302.233333333334,9994.1,-308.1333333333332,-2.9909372401453393
Fuzzy,1,10302.233333333334,1816.4,-8485.833333333334,-82.36887147446994
Fuzzy,2,10302.233333333334,5502.3,-4799.933333333333,-46.59119220104378
Fuzzy,3,10302.233333333334,5679.4,-4622.833333333334,-44.872147463171416
NSGA3,1,10302.233333333334,4227.9,-6074.333333333334,-58.961325537828365
NSGA3,2,10302.233333333334,6999.1,-3303.133333333333,-32.06230364289944
NSGA3,3,10302.233333333334,7817.9,-2484.333333333334,-24.114512387281728
MQGA,1,10302.233333333334,3358.0,-6944.233333333334,-67.40512574943297
MQGA,2,10302.233333333334,6630.8,-3671.4333333333334,-35.637256646617075
MQGA,3,10302.233333333334,9161.0,-1141.2333333333336,-11.07753335037387
Greedy,1,10302.233333333334,3983.7,-6318.533333333334,-61.33168536272071
Greedy,2,10302.233333333334,7136.1,-3166.133333333333,-30.732494895928713
Greedy,3,10302.233333333334,3997.6,-6304.633333333333,-61.19676316138572
MOPSO,1,10302.233333333334,4729.4,-5572.833333333334,-54.09344899326036
MOPSO,2,10302.233333333334,7141.5,-3160.7333333333336,-30.680079076705052
MOPSO,3,10302.233333333334,5131.6,-5170.633333333333,-50.18944112441639
RL,1,10302.233333333334,4141.0,-6161.233333333334,-59.80483196200177
RL,2,10302.233333333334,7919.2,-2383.0333333333338,-23.13123044517856
RL,3,10302.233333333334,6075.9,-4226.333333333334,-41.023467403507986
