Algorithm,Load,Average,Min,Max
Random,50,11704.22,9806.6,13095.4
Random,100,22626.14,20620.5,25944.6
Random,150,33473.69,30295.0,36257.2
Fuzzy,50,11730.630000000001,10353.0,12526.0
Fuzzy,100,22660.75,21520.9,24825.1
Fuzzy,150,33701.79,31200.0,35280.1
NSGA3,50,10666.94,8443.6,12012.2
NSGA3,100,21489.71,18948.3,24481.4
NSGA3,150,32925.63,28493.3,35316.6
QUEST,50,11612.18,9929.8,13268.1
QUEST,100,22305.67,20924.6,23845.6
QUEST,150,33594.03,30813.3,36715.2
MQGA,50,11537.28,9656.9,12460.7
MQGA,100,23024.39,21120.5,26724.6
MQGA,150,33316.38,30041.7,36116.2
