Algorithm,Load,QuestAvg,OtherAvg,AvgDiff,Improvement(%)
Random,20,10956.6,5002.7,-5953.900000000001,-54.34076264534619
Random,40,10956.6,9554.0,-1402.6000000000004,-12.801416497818668
Random,100,10956.6,23359.8,12403.199999999999,113.2030009309457
Fuzzy,20,10956.6,4771.3,-6185.3,-56.452731686837154
Fuzzy,40,10956.6,9140.2,-1816.3999999999996,-16.578135553000013
Fuzzy,100,10956.6,22716.5,11759.9,107.33165398024933
NSGA3,20,10956.6,4619.7,-6336.900000000001,-57.836372597338595
NSGA3,40,10956.6,8803.7,-2152.8999999999996,-19.649343774528592
NSGA3,100,10956.6,22931.4,11974.800000000001,109.29302885931769
MQGA,20,10956.6,4515.7,-6440.900000000001,-58.785572166548015
MQGA,40,10956.6,9220.4,-1736.2000000000007,-15.846156654436601
MQGA,100,10956.6,24507.0,13550.4,123.67340233284048
greedy,20,10956.6,2223.0,-8733.6,-79.7108592081485
greedy,40,10956.6,4607.2,-6349.400000000001,-57.95045908402242
greedy,100,10956.6,0.0,-10956.6,-100.0
