Algorithm,Load,Average,Min,Max
QUEST,1,71169,31837,99025
QUEST,2,94390.8,33220,305620
QUEST,3,79422,33403,286139
QUEST_NDVFS,1,69158.6,28832,95842
QUEST_NDVFS,2,90245.3,24251,257735
QUEST_NDVFS,3,74900.7,30374,238431
Fuzzy,1,98960.5,33830,267518
Fuzzy,2,114471.8,35029,405466
Fuzzy,3,95461.1,35309,433233
NSGA3,1,93516.4,37055,224212
NSGA3,2,135923,33975,476559
NSGA3,3,81688.3,36544,295162
MQGA,1,79640.8,29466,148458
MQGA,2,122644,34994,402350
MQGA,3,89836.1,35925,384074
Greedy,1,78077.9,27934,138121
Greedy,2,119786,35528,404741
Greedy,3,95012.4,37776,397724
MOPSO,1,88000.7,32794,176297
MOPSO,2,127932.4,36161,421070
MOPSO,3,96212.2,38769,420636
RL,1,92175.2,30798,224550
RL,2,134069,35325,443940
RL,3,107906.9,36957,518582
