Algorithm,Load,QuestAvg,OtherAvg,AvgDiff,Improvement(%)
Random,50,80265.03333333334,73333.3,-6931.733333333337,-8.636056132371468
Random,100,80265.03333333334,90644.5,10379.46666666666,12.931492376713635
Random,150,80265.03333333334,108390.1,28125.066666666666,35.040247912021464
Fuzzy,50,80265.03333333334,82521.6,2256.5666666666657,2.811394417909665
Fuzzy,100,80265.03333333334,90315,10049.96666666666,12.520977378692496
Fuzzy,150,80265.03333333334,97976.5,17711.46666666666,22.066229753014067
NSGA3,50,80265.03333333334,42027.3,-38237.73333333334,-47.63934149822816
NSGA3,100,80265.03333333334,54407.6,-25857.43333333334,-32.215065838133754
NSGA3,150,80265.03333333334,64746.4,-15518.633333333339,-19.334238944231014
MQGA,50,80265.03333333334,53984.5,-26280.53333333334,-32.74219450478852
MQGA,100,80265.03333333334,66333.8,-13931.233333333337,-17.35654089306635
MQGA,150,80265.03333333334,77904.1,-2360.9333333333343,-2.9414219807628985
