Algorithm,Load,QuestAvg,OtherAvg,AvgDiff,Improvement(%)
Random,50,0.9333333333333333,0.9,0.033333333333333326,3.703703703703703
Random,100,0.9333333333333333,0.6,0.33333333333333337,55.55555555555557
Random,150,0.9333333333333333,0.1,0.8333333333333334,833.3333333333334
Fuzzy,50,0.9333333333333333,0.6,0.33333333333333337,55.55555555555557
Fuzzy,100,0.9333333333333333,0.8,0.1333333333333333,16.666666666666664
Fuzzy,150,0.9333333333333333,0.4,0.5333333333333333,133.33333333333331
NSGA3,50,0.9333333333333333,1,-0.06666666666666665,-6.666666666666665
NSGA3,100,0.9333333333333333,1,-0.06666666666666665,-6.666666666666665
NSGA3,150,0.9333333333333333,1,-0.06666666666666665,-6.666666666666665
MQGA,50,0.9333333333333333,1,-0.06666666666666665,-6.666666666666665
MQGA,100,0.9333333333333333,1,-0.06666666666666665,-6.666666666666665
MQGA,150,0.9333333333333333,1,-0.06666666666666665,-6.666666666666665
