Algorithm,Load,Average,Min,Max
QUEST,1,41574.18481518481,41314.003996003994,41834.36563436563
QUEST,2,64736.12337662338,63194.91208791209,66277.33466533467
QUEST,3,697962.9690309691,682196.1268731268,713729.8111888112
QUEST,4,9569609.774549097,9399710.58016032,9739508.968937876
QUEST_NDVFS,1,33326.18331668332,32892.406593406595,33759.96003996004
QUEST_NDVFS,2,47515.055444555444,45742.22277722278,49287.88811188811
QUEST_NDVFS,3,557103.988011988,546575.5614385614,567632.4145854146
QUEST_NDVFS,4,7353311.082665331,7334997.793587174,7371624.371743487
Fuzzy,1,36755.74825174826,36755.51348651349,36755.98301698302
Fuzzy,2,62847.055444555444,62846.27972027972,62847.831168831166
Fuzzy,3,619887.6228771228,619886.8651348652,619888.3806193806
Fuzzy,4,8433364.717935871,8433363.77755511,8433365.658316633
NSGA3,1,36403.03246753247,34672.681318681316,38133.38361638362
NSGA3,2,63913.86063936064,62957.91008991009,64869.81118881119
NSGA3,3,718913.3371628372,711160.3586413587,726666.3156843156
NSGA3,4,8790968.82264529,8719534.765531061,8862402.879759518
MQGA,1,39367.995004995,38007.61438561438,40728.37562437562
MQGA,2,96345.94455544456,89198.8011988012,103493.08791208791
MQGA,3,667050.3066933067,654190.1748251749,679910.4385614386
MQGA,4,9426047.817134269,8853290.926853707,9998804.70741483
Greedy,1,39934.692307692305,39347.87512487512,40521.50949050949
Greedy,2,106204.27622377622,102579.15984015985,109829.39260739261
Greedy,3,709045.1718281719,701738.4415584416,716351.9020979021
Greedy,4,9134773.321142286,8514751.22745491,9754795.41482966
MOPSO,1,37332.66033966034,37249.72127872128,37415.5994005994
MOPSO,2,106006.64235764235,90023.1048951049,121990.17982017982
MOPSO,3,699388.5909090909,678339.2127872128,720437.9690309691
MOPSO,4,9483578.411823647,9309606.006012024,9657550.81763527
RL,1,37584.769730269734,36622.47452547453,38547.06493506493
RL,2,59132.557942057945,59097.3006993007,59167.81518481518
RL,3,746825.58991009,668878.5054945055,824772.6743256743
RL,4,9954022.34468938,9920531.378757516,9987513.310621243
