Algorithm,Load,QuestAvg,OtherAvg,AvgDiff,Improvement(%)
QUEST_NDVFS,1,2593470.762942969,33326.18331668332,-2560144.5796262855,-98.714996760601
QUEST_NDVFS,2,2593470.762942969,47515.055444555444,-2545955.7074984135,-98.16789700799876
QUEST_NDVFS,3,2593470.762942969,557103.988011988,-2036366.774930981,-78.51897943203308
QUEST_NDVFS,4,2593470.762942969,7353311.082665331,4759840.319722362,183.53167453181857
Fuzzy,1,2593470.762942969,36755.74825174826,-2556715.0146912206,-98.58275833385377
Fuzzy,2,2593470.762942969,62847.055444555444,-2530623.7074984135,-97.57672011026493
Fuzzy,3,2593470.762942969,619887.6228771228,-1973583.140065846,-76.09814493633625
Fuzzy,4,2593470.762942969,8433364.717935871,5839893.954992902,225.17678002916907
NSGA3,1,2593470.762942969,36403.03246753247,-2557067.7304754364,-98.5963584788508
NSGA3,2,2593470.762942969,63913.86063936064,-2529556.902303608,-97.53558584301008
NSGA3,3,2593470.762942969,718913.3371628372,-1874557.4257801317,-72.27987500630073
NSGA3,4,2593470.762942969,8790968.82264529,6197498.059702321,238.96541068655205
MQGA,1,2593470.762942969,39367.995004995,-2554102.767937974,-98.48203436231063
MQGA,2,2593470.762942969,96345.94455544456,-2497124.818387524,-96.28505761730219
MQGA,3,2593470.762942969,667050.3066933067,-1926420.4562496622,-74.27962881924437
MQGA,4,2593470.762942969,9426047.817134269,6832577.0541913,263.4530202468124
Greedy,1,2593470.762942969,39934.692307692305,-2553536.0706352764,-98.46018343918495
Greedy,2,2593470.762942969,106204.27622377622,-2487266.4867191925,-95.90493643725291
Greedy,3,2593470.762942969,709045.1718281719,-1884425.591114797,-72.66037535647499
Greedy,4,2593470.762942969,9134773.321142286,6541302.558199317,252.2219510497394
MOPSO,1,2593470.762942969,37332.66033966034,-2556138.1026033084,-98.56051354528104
MOPSO,2,2593470.762942969,106006.64235764235,-2487464.1205853266,-95.91255687658688
MOPSO,3,2593470.762942969,699388.5909090909,-1894082.172033878,-73.0327173568962
MOPSO,4,2593470.762942969,9483578.411823647,6890107.648880678,265.6713060864451
RL,1,2593470.762942969,37584.769730269734,-2555885.993212699,-98.55079261862893
RL,2,2593470.762942969,59132.557942057945,-2534338.205000911,-97.71994507179419
RL,3,2593470.762942969,746825.58991009,-1846645.173032879,-71.20362409396813
RL,4,2593470.762942969,9954022.34468938,7360551.5817464115,283.81085635968174
