Algorithm,Load,Average,Min,Max
QUEST,1,4632275313.314594,4498392983.697801,4766157642.931389
QUEST,2,12127464225.273844,11333519731.70273,12921408718.844957
QUEST_NDVFS,1,4557004719.583334,4471108772.5,4642900666.666667
QUEST_NDVFS,2,15469007676.250002,14820293073.333336,16117722279.166668
Fuzzy,1,4528236671.666667,4528227979.166667,4528245364.166667
Fuzzy,2,27445778928.33333,27445751478.33333,27445806378.33333
NSGA3,1,6142380417.5,5509223279.166667,6775537555.833333
NSGA3,2,21584669559.166668,19420187290.0,23749151828.333336
MQGA,1,4832343097.916667,4830094371.666667,4834591824.166667
MQGA,2,20734706112.083332,20334717894.166664,21134694330.0
Greedy,1,7137144755.0,6232037780.0,8042251730.0
Greedy,2,23987023595.0,23868195257.5,24105851932.5
MOPSO,1,5283490830.416666,5122747402.5,5444234258.333333
MOPSO,2,23434383677.5,23000002803.333336,23868764551.666668
RL,1,5770288825.0,4616942506.666667,6923635143.333333
RL,2,25011988621.666668,21004137483.333336,29019839760.0
