Algorithm,Load,QuestAvg,OtherAvg,AvgDiff,Improvement(%)
QUEST_NDVFS,1,8379869769.294219,4557004719.583334,-3822865049.710885,-45.61962363327825
QUEST_NDVFS,2,8379869769.294219,15469007676.250002,7089137906.955783,84.59723244067615
Fuzzy,1,8379869769.294219,4528236671.666667,-3851633097.627552,-45.96292309626131
Fuzzy,2,8379869769.294219,27445778928.33333,19065909159.03911,227.5203515560708
NSGA3,1,8379869769.294219,6142380417.5,-2237489351.794219,-26.700765207508326
NSGA3,2,8379869769.294219,21584669559.166668,13204799789.872448,157.5776253499534
MQGA,1,8379869769.294219,4832343097.916667,-3547526671.377552,-42.333911731856624
MQGA,2,8379869769.294219,20734706112.083332,12354836342.789112,147.43470582395076
Greedy,1,8379869769.294219,7137144755.0,-1242725014.294219,-14.829884574672638
Greedy,2,8379869769.294219,23987023595.0,15607153825.70578,186.2457801300684
MOPSO,1,8379869769.294219,5283490830.416666,-3096378938.877553,-36.95020357265457
MOPSO,2,8379869769.294219,23434383677.5,15054513908.20578,179.65092922289796
RL,1,8379869769.294219,5770288825.0,-2609580944.294219,-31.141068013447263
RL,2,8379869769.294219,25011988621.666668,16632118852.372448,198.47705644921092
