Algorithm,Load,Average,Min,Max
QUEST,1,1897203.0,6858.0,3787548.0
QUEST,2,8854582.0,2644117.0,15065047.0
QUEST_NDVFS,1,1819353.0,1421980.0,2216726.0
QUEST_NDVFS,2,3861818.5,3269506.0,4454131.0
Fuzzy,1,3677.0,3677.0,3677.0
Fuzzy,2,3962093.0,3962093.0,3962093.0
NSGA3,1,1395.5,0.0,2791.0
NSGA3,2,5463929.0,4552742.0,6375116.0
MQGA,1,1120803.5,6456.0,2235151.0
MQGA,2,4847580.5,1445202.0,8249959.0
Greedy,1,4010.0,3139.0,4881.0
Greedy,2,2769484.0,1241378.0,4297590.0
MOPSO,1,980567.0,0.0,1961134.0
MOPSO,2,5431313.0,4123795.0,6738831.0
RL,1,27293.5,13197.0,41390.0
RL,2,5201031.5,4347840.0,6054223.0
