Algorithm,Load,QuestAvg,OtherAvg,AvgDiff,Improvement(%)
QUEST_NDVFS,1,5375892.5,1819353.0,-3556539.5,-66.15719157330619
QUEST_NDVFS,2,5375892.5,3861818.5,-1514074.0,-28.164142047111245
Fuzzy,1,5375892.5,3677.0,-5372215.5,-99.9316020549146
Fuzzy,2,5375892.5,3962093.0,-1413799.5,-26.29887967439825
NSGA3,1,5375892.5,1395.5,-5374497.0,-99.97404151961744
NSGA3,2,5375892.5,5463929.0,88036.5,1.6376164515938516
MQGA,1,5375892.5,1120803.5,-4255089.0,-79.15130371375544
MQGA,2,5375892.5,4847580.5,-528312.0,-9.827428654869866
Greedy,1,5375892.5,4010.0,-5371882.5,-99.92540773462267
Greedy,2,5375892.5,2769484.0,-2606408.5,-48.48327045230164
MOPSO,1,5375892.5,980567.0,-4395325.5,-81.75992172462526
MOPSO,2,5375892.5,5431313.0,55420.5,1.0309078911083136
RL,1,5375892.5,27293.5,-5348599.0,-99.49229825559198
RL,2,5375892.5,5201031.5,-174861.0,-3.2526878095125595
