Algorithm,Load,Average,Min,Max
QUEST,1,447163.85,436388.14,457939.56
QUEST,2,5173595.890000001,5110287.36,5236904.42
QUEST_NDVFS,1,360387.88,336481.64,384294.12
QUEST_NDVFS,2,3442414.87,3389890.14,3494939.6
Fuzzy,1,347808.16,347808.16,347808.16
Fuzzy,2,3389692.56,3389692.56,3389692.56
NSGA3,1,387194.57,386548.08,387841.06
NSGA3,2,3422326.7800000003,3374825.14,3469828.42
MQGA,1,371106.75,355081.76,387131.74
MQGA,2,3423867.3200000003,3405882.2,3441852.44
Greedy,1,385276.67000000004,383848.44,386704.9
Greedy,2,3445783.7199999997,3443775.94,3447791.5
MOPSO,1,379932.97,369421.18,390444.76
MOPSO,2,3401089.2800000003,3334522.66,3467655.9
RL,1,379825.4,364214.34,395436.46
RL,2,3546089.02,3531019.46,3561158.58
