Algorithm,Load,QuestAvg,OtherAvg,AvgDiff,Improvement(%)
QUEST_NDVFS,1,30378853.98,206267.83000000002,-30172586.150000002,-99.32101510433607
QUEST_NDVFS,2,30378853.98,452643.83999999997,-29926210.14,-98.51000356926565
QUEST_NDVFS,3,30378853.98,4962989.48,-25415864.5,-83.66301282047243
QUEST_NDVFS,4,30378853.98,83444293.5,53065439.519999996,174.6788722014852
Fuzzy,1,30378853.98,203884.64,-30174969.34,-99.32886000197956
Fuzzy,2,30378853.98,448938.48,-29929915.5,-98.5222007377383
Fuzzy,3,30378853.98,4898216.88,-25480637.1,-83.8762288951889
Fuzzy,4,30378853.98,82882354.64,52503500.66,172.82910242290842
NSGA3,1,30378853.98,204504.33000000002,-30174349.650000002,-99.32682012911141
NSGA3,2,30378853.98,449050.66,-29929803.32,-98.52183146771884
NSGA3,3,30378853.98,4902941.359999999,-25475912.62,-83.86067702478881
NSGA3,4,30378853.98,81975651.28,51596797.3,169.84444947781404
MQGA,1,30378853.98,203910.07,-30174943.91,-99.32877629243603
MQGA,2,30378853.98,450458.9,-29928395.080000002,-98.51719587481293
MQGA,3,30378853.98,4932196.0,-25446657.98,-83.76437767123433
MQGA,4,30378853.98,81985739.82,51606885.83999999,169.87765856465657
Greedy,1,30378853.98,202930.57,-30175923.41,-99.33200057469712
Greedy,2,30378853.98,451996.61,-29926857.37,-98.51213409729816
Greedy,3,30378853.98,4877002.720000001,-25501851.259999998,-83.94606089087235
Greedy,4,30378853.98,83206338.94,52827484.95999999,173.89558208739246
MOPSO,1,30378853.98,204296.13,-30174557.85,-99.32750547425357
MOPSO,2,30378853.98,450789.44,-29928064.54,-98.51610781533505
MOPSO,3,30378853.98,4911939.58,-25466914.4,-83.8310570134285
MOPSO,4,30378853.98,82580329.5,52201475.519999996,171.83490711784907
RL,1,30378853.98,204532.91999999998,-30174321.06,-99.32672601759548
RL,2,30378853.98,445956.83,-29932897.150000002,-98.53201562411277
RL,3,30378853.98,4884828.52,-25494025.46,-83.92030020877041
RL,4,30378853.98,82801839.68,52422985.7,172.56406622354095
