Algorithm,Load,Average,Min,Max
QUEST,1,554452.5,528445,580460
QUEST,2,1221610,1081121,1362099
QUEST,3,6812131.5,6786470,6837793
QUEST,4,105706314.5,101465663,109946966
QUEST_NDVFS,1,558880.5,547244,570517
QUEST_NDVFS,2,1294582,1269989,1319175
QUEST_NDVFS,3,6516491,5993210,7039772
QUEST_NDVFS,4,120855937.5,119992724,121719151
Fuzzy,1,500454.5,500443,500466
Fuzzy,2,1372964.5,1372964,1372965
Fuzzy,3,6693880,6693866,6693894
Fuzzy,4,95225502,95225493,95225511
NSGA3,1,597523.5,595884,599163
NSGA3,2,1245346.5,1096528,1394165
NSGA3,3,8572277.5,8332851,8811704
NSGA3,4,154797697.5,152074956,157520439
MQGA,1,585283,581953,588613
MQGA,2,1120106,1112893,1127319
MQGA,3,8162834,8133169,8192499
MQGA,4,138518582.5,138159078,138878087
Greedy,1,572277.5,563231,581324
Greedy,2,1636945.5,1512812,1761079
Greedy,3,9329865.5,9097398,9562333
Greedy,4,162293642,158116223,166471061
MOPSO,1,602875.5,601657,604094
MOPSO,2,1228964.5,1201279,1256650
MOPSO,3,8491019.5,8416509,8565530
MOPSO,4,163306532,163165383,163447681
RL,1,609889,608473,611305
RL,2,1319673.5,1301597,1337750
RL,3,10202402,9960226,10444578
RL,4,173910545,151899977,195921113
