Algorithm,Load,QuestAvg,OtherAvg,AvgDiff,Improvement(%)
QUEST_NDVFS,1,11920738.75,5055225.5,-6865513.25,-57.59301830182295
QUEST_NDVFS,2,11920738.75,21612919,9692180.25,81.30519805242776
Fuzzy,1,11920738.75,4478381,-7442357.75,-62.432017898219605
Fuzzy,2,11920738.75,27568180.5,15647441.75,131.2623494076657
NSGA3,1,11920738.75,6008723.5,-5912015.25,-49.59436972813451
NSGA3,2,11920738.75,26739083,14818344.25,124.30726451412251
MQGA,1,11920738.75,5265147,-6655591.75,-55.83204103017525
MQGA,2,11920738.75,26461867,14541128.25,121.98177105424779
Greedy,1,11920738.75,5018454.5,-6902284.25,-57.90148072828121
Greedy,2,11920738.75,26711412,14790673.25,124.07513963847249
MOPSO,1,11920738.75,5604954,-6315784.75,-52.98148782935118
MOPSO,2,11920738.75,28358119.5,16437380.75,137.88894375359078
RL,1,11920738.75,6270022.5,-5650716.25,-47.40239987223946
RL,2,11920738.75,29987527,18066788.25,151.55762263475492
