Algorithm,Load,Average,Min,Max
QUEST,1,1,True,True
QUEST,2,1,True,True
QUEST,3,1,True,True
QUEST,4,1,True,True
QUEST_NDVFS,1,1,True,True
QUEST_NDVFS,2,1,True,True
QUEST_NDVFS,3,1,True,True
QUEST_NDVFS,4,1,True,True
Fuzzy,1,1,True,True
Fuzzy,2,1,True,True
Fuzzy,3,1,True,True
Fuzzy,4,1,True,True
NSGA3,1,1,True,True
NSGA3,2,1,True,True
NSGA3,3,1,True,True
NSGA3,4,1,True,True
MQGA,1,1,True,True
MQGA,2,1,True,True
MQGA,3,1,True,True
MQGA,4,1,True,True
Greedy,1,1,True,True
Greedy,2,1,True,True
Greedy,3,1,True,True
Greedy,4,1,True,True
MOPSO,1,1,True,True
MOPSO,2,1,True,True
MOPSO,3,1,True,True
MOPSO,4,1,True,True
RL,1,1,True,True
RL,2,1,True,True
RL,3,1,True,True
RL,4,1,True,True
