Algorithm,Load,QuestAvg,OtherAvg,AvgDiff,Improvement(%)
QUEST_NDVFS,1,1,1,0,0.0
QUEST_NDVFS,2,1,1,0,0.0
QUEST_NDVFS,3,1,1,0,0.0
QUEST_NDVFS,4,1,1,0,0.0
Fuzzy,1,1,1,0,0.0
Fuzzy,2,1,1,0,0.0
Fuzzy,3,1,1,0,0.0
Fuzzy,4,1,1,0,0.0
NSGA3,1,1,1,0,0.0
NSGA3,2,1,1,0,0.0
NSGA3,3,1,1,0,0.0
NSGA3,4,1,1,0,0.0
MQGA,1,1,1,0,0.0
MQGA,2,1,1,0,0.0
MQGA,3,1,1,0,0.0
MQGA,4,1,1,0,0.0
Greedy,1,1,1,0,0.0
Greedy,2,1,1,0,0.0
Greedy,3,1,1,0,0.0
Greedy,4,1,1,0,0.0
MOPSO,1,1,1,0,0.0
MOPSO,2,1,1,0,0.0
MOPSO,3,1,1,0,0.0
MOPSO,4,1,1,0,0.0
RL,1,1,1,0,0.0
RL,2,1,1,0,0.0
RL,3,1,1,0,0.0
RL,4,1,1,0,0.0
