Algorithm,Load,Execution Time (s)
QUEST,1,188.6079602241516
QUEST_NDVFS,1,32.319451093673706
Fuzzy,1,0.3377978801727295
NSGA3,1,104.75870728492737
MQGA,1,796.9000444412231
Greedy,1,2544.8599293231964
MOPSO,1,29.04071044921875
RL,1,999.4767718315125
QUEST,1,196.4980766773224
QUEST_NDVFS,1,54.95602059364319
Fuzzy,1,0.3289206027984619
NSGA3,1,103.9414610862732
MQGA,1,416.0992274284363
Greedy,1,2539.109244823456
MOPSO,1,18.691269636154175
RL,1,1000.3500792980194
QUEST,2,169.19122862815857
QUEST_NDVFS,2,47.568674087524414
Fuzzy,2,0.3193960189819336
NSGA3,2,84.18953919410706
MQGA,2,814.2928965091705
Greedy,2,2029.764211177826
MOPSO,2,10.481119632720947
RL,2,800.139509677887
QUEST,2,147.8386309146881
QUEST_NDVFS,2,81.7935562133789
Fuzzy,2,0.3188743591308594
NSGA3,2,83.44169354438782
MQGA,2,400.4728889465332
Greedy,2,2020.8912432193756
MOPSO,2,15.566750049591064
RL,2,796.0623943805695
QUEST,3,129.3959186077118
QUEST_NDVFS,3,22.587865114212036
Fuzzy,3,0.3080160617828369
NSGA3,3,61.512286901474
MQGA,3,610.4732897281647
Greedy,3,1454.9906919002533
MOPSO,3,15.506824493408203
RL,3,572.481662273407
QUEST,3,136.86498999595642
QUEST_NDVFS,3,48.48489499092102
Fuzzy,3,0.3081676959991455
NSGA3,3,61.10771560668945
MQGA,3,503.9633939266205
Greedy,3,1427.9375007152557
MOPSO,3,9.5229172706604
RL,3,562.7792263031006
QUEST,4,114.09833598136902
QUEST_NDVFS,4,38.15207242965698
Fuzzy,4,0.30071306228637695
NSGA3,4,52.148290395736694
MQGA,4,441.8537359237671
Greedy,4,1218.4204246997833
MOPSO,4,13.826612710952759
RL,4,480.28175377845764
QUEST,4,92.05441474914551
QUEST_NDVFS,4,31.283611536026
Fuzzy,4,0.29973912239074707
NSGA3,4,52.535693883895874
MQGA,4,434.7386417388916
Greedy,4,1223.3923816680908
MOPSO,4,15.340459823608398
RL,4,481.9516851902008
