Algorithm,Load,CPU (%),Memory (%),Disk (%)
QUEST,1,18.2,30.1,57.5
QUEST_NDVFS,1,2.55,30.1,57.5
Fuzzy,1,0.0,30.1,57.5
NSGA3,1,2.25,30.1,57.5
MQGA,1,3.55,30.35,57.5
Greedy,1,3.4,30.6,57.5
MOPSO,1,5.05,30.4,57.5
RL,1,6.5,30.25,57.5
QUEST,1,2.8,30.3,57.5
QUEST_NDVFS,1,14.2,30.3,57.5
Fuzzy,1,10.0,30.3,57.5
NSGA3,1,2.5,30.25,57.5
MQGA,1,3.15,30.2,57.5
Greedy,1,2.2,30.2,57.5
MOPSO,1,2.4,30.2,57.5
RL,1,2.4,30.2,57.5
QUEST,1,2.6,30.15,57.5
QUEST_NDVFS,1,2.5,30.1,57.5
Fuzzy,1,10.0,30.1,57.5
NSGA3,1,2.7,30.1,57.5
MQGA,1,3.3,30.15,57.5
Greedy,1,2.8,30.2,57.5
MOPSO,1,2.9,30.2,57.5
RL,1,2.5,30.2,57.5
QUEST,1,3.2,30.15,57.5
QUEST_NDVFS,1,2.65,30.1,57.5
Fuzzy,1,0.0,30.1,57.5
NSGA3,1,2.45,30.1,57.5
MQGA,1,2.75,29.950000000000003,57.5
Greedy,1,2.5,29.8,57.5
MOPSO,1,2.65,29.8,57.5
RL,1,2.45,29.8,57.5
QUEST,1,2.55,29.8,57.5
QUEST_NDVFS,1,2.5,29.8,57.5
Fuzzy,1,0.0,29.8,57.5
NSGA3,1,3.6,29.9,57.5
MQGA,1,4.05,30.15,57.5
Greedy,1,2.2,30.3,57.5
MOPSO,1,2.5,30.3,57.5
RL,1,2.45,30.3,57.5
QUEST,1,2.3,30.25,57.5
QUEST_NDVFS,1,2.3,30.2,57.5
Fuzzy,1,0.0,30.2,57.5
NSGA3,1,2.7,30.25,57.5
MQGA,1,4.0,30.55,57.5
Greedy,1,2.65,30.8,57.5
MOPSO,1,2.35,30.8,57.5
RL,1,2.4,30.8,57.5
QUEST,1,2.9,30.75,57.5
QUEST_NDVFS,1,2.3,30.7,57.5
Fuzzy,1,0.0,30.7,57.5
NSGA3,1,2.5,30.65,57.5
MQGA,1,2.95,30.6,57.5
Greedy,1,2.8,30.6,57.5
MOPSO,1,2.5,30.6,57.5
RL,1,2.4,30.6,57.5
QUEST,1,2.4,30.6,57.5
QUEST_NDVFS,1,2.35,30.6,57.5
Fuzzy,1,0.0,30.6,57.5
NSGA3,1,2.45,30.6,57.5
MQGA,1,3.5,30.85,57.5
Greedy,1,2.8,31.05,57.5
MOPSO,1,3.15,31.0,57.5
RL,1,2.4,31.0,57.5
QUEST,1,2.65,31.0,57.5
QUEST_NDVFS,1,3.8,31.0,57.5
Fuzzy,1,12.5,31.0,57.5
NSGA3,1,2.65,31.05,57.5
MQGA,1,2.85,30.950000000000003,57.5
Greedy,1,2.4,30.8,57.5
MOPSO,1,2.45,30.8,57.5
RL,1,4.95,30.85,57.5
QUEST,1,52.75,30.9,57.5
QUEST_NDVFS,1,2.5,30.85,57.5
Fuzzy,1,0.0,30.8,57.5
NSGA3,1,2.6,30.85,57.5
MQGA,1,2.85,30.799999999999997,57.5
Greedy,1,4.35,30.85,57.5
MOPSO,1,4.5,31.35,57.5
RL,1,3.75,31.85,57.5
QUEST,2,3.45,32.0,57.5
QUEST_NDVFS,2,2.55,31.9,57.5
Fuzzy,2,11.1,31.8,57.5
NSGA3,2,5.85,31.75,57.5
MQGA,2,4.15,31.75,57.5
Greedy,2,4.15,31.799999999999997,57.5
MOPSO,2,2.25,31.9,57.5
RL,2,2.8,31.9,57.5
QUEST,2,4.65,31.85,57.5
QUEST_NDVFS,2,2.5,31.8,57.5
Fuzzy,2,0.0,31.8,57.5
NSGA3,2,2.35,31.8,57.5
MQGA,2,2.4,31.8,57.5
Greedy,2,2.8,31.85,57.5
